token_length,over_512,excess_tokens
150,False,0
575,True,63
457,False,0
133,False,0
797,True,285
830,True,318
334,False,0
324,False,0
715,True,203
380,False,0
379,False,0
43,False,0
129,False,0
529,True,17
202,False,0
586,True,74
80,False,0
398,False,0
253,False,0
421,False,0
186,False,0
253,False,0
747,True,235
163,False,0
526,True,14
1148,True,636
620,True,108
1952,True,1440
418,False,0
392,False,0
566,True,54
1799,True,1287
445,False,0
247,False,0
254,False,0
222,False,0
553,True,41
819,True,307
41,False,0
1029,True,517
445,False,0
254,False,0
392,False,0
606,True,94
816,True,304
518,True,6
469,False,0
530,True,18
544,True,32
100,False,0
467,False,0
441,False,0
153,False,0
633,True,121
1181,True,669
436,False,0
382,False,0
21,False,0
587,True,75
473,False,0
405,False,0
255,False,0
138,False,0
496,False,0
433,False,0
685,True,173
67,False,0
296,False,0
231,False,0
354,False,0
1433,True,921
721,True,209
534,True,22
666,True,154
527,True,15
451,False,0
201,False,0
547,True,35
481,False,0
15,False,0
920,True,408
229,False,0
217,False,0
495,False,0
322,False,0
368,False,0
612,True,100
129,False,0
975,True,463
126,False,0
191,False,0
452,False,0
580,True,68
976,True,464
98,False,0
493,False,0
544,True,32
1369,True,857
323,False,0
1131,True,619
1439,True,927
23,False,0
877,True,365
737,True,225
247,False,0
1484,True,972
41,False,0
745,True,233
1004,True,492
234,False,0
925,True,413
549,True,37
600,True,88
734,True,222
103,False,0
1532,True,1020
311,False,0
3088,True,2576
549,True,37
1106,True,594
212,False,0
642,True,130
664,True,152
1005,True,493
607,True,95
466,False,0
406,False,0
707,True,195
132,False,0
548,True,36
78,False,0
384,False,0
461,False,0
561,True,49
551,True,39
397,False,0
752,True,240
816,True,304
134,False,0
1006,True,494
29,False,0
816,True,304
564,True,52
3068,True,2556
2242,True,1730
165,False,0
27,False,0
529,True,17
282,False,0
394,False,0
21,False,0
162,False,0
305,False,0
910,True,398
1086,True,574
663,True,151
441,False,0
68,False,0
379,False,0
491,False,0
639,True,127
679,True,167
313,False,0
1383,True,871
586,True,74
658,True,146
123,False,0
528,True,16
1231,True,719
21,False,0
39,False,0
347,False,0
489,False,0
5316,True,4804
214,False,0
30,False,0
119,False,0
1195,True,683
1015,True,503
467,False,0
536,True,24
946,True,434
482,False,0
305,False,0
244,False,0
486,False,0
411,False,0
529,True,17
81,False,0
682,True,170
1418,True,906
125,False,0
693,True,181
557,True,45
720,True,208
484,False,0
592,True,80
70,False,0
280,False,0
817,True,305
640,True,128
305,False,0
976,True,464
235,False,0
741,True,229
209,False,0
456,False,0
245,False,0
1169,True,657
640,True,128
117,False,0
2169,True,1657
44,False,0
1632,True,1120
492,False,0
455,False,0
728,True,216
422,False,0
317,False,0
490,False,0
108,False,0
898,True,386
264,False,0
517,True,5
311,False,0
498,False,0
138,False,0
757,True,245
456,False,0
356,False,0
924,True,412
381,False,0
457,False,0
1083,True,571
521,True,9
706,True,194
219,False,0
565,True,53
229,False,0
180,False,0
285,False,0
1030,True,518
533,True,21
72,False,0
330,False,0
615,True,103
632,True,120
613,True,101
532,True,20
239,False,0
442,False,0
501,False,0
439,False,0
75,False,0
668,True,156
338,False,0
721,True,209
447,False,0
640,True,128
796,True,284
567,True,55
799,True,287
614,True,102
654,True,142
1058,True,546
469,False,0
239,False,0
572,True,60
1022,True,510
587,True,75
231,False,0
201,False,0
375,False,0
856,True,344
772,True,260
979,True,467
558,True,46
35,False,0
439,False,0
1003,True,491
1063,True,551
419,False,0
73,False,0
357,False,0
555,True,43
246,False,0
467,False,0
